HR,HIP,Name,RA_hours,RA_deg,Dec,Mag
2294,30324,2Bet CMa,6.378333333333333,95.675,-17.95583333333333,1.98
5958,,,15.991722222222222,239.87583333333333,25.92027777777778,2.0
617,9884,13Alp Ari,2.1195555555555554,31.79333333333333,23.4625,2.0
7121,92855,34Sig Sgr,18.921083333333335,283.81625,-26.296666666666667,2.02
424,11767,1Alp UMi,2.530194444444444,37.95291666666666,89.26416666666667,2.02
188,3419,16Bet Cet,0.7265,10.8975,-17.986666666666668,2.04
1948,26727,50Zet Ori,5.679305555555556,85.18958333333333,-1.9427777777777777,2.05
2004,27366,53Kap Ori,5.795944444444444,86.93916666666667,-9.669722222222221,2.06
15,677,21Alp And,0.13980555555555554,2.097083333333333,29.090555555555554,2.06
5288,68933,5The Cen,14.111388888888888,211.67083333333332,-36.37,2.06
337,5447,43Bet And,1.1621944444444443,17.432916666666664,35.620555555555555,2.06
5563,72607,7Bet UMi,14.845083333333333,222.67625,74.15555555555557,2.08
6556,86032,55Alp Oph,17.58225,263.73375,12.56,2.08
8636,112122,Bet Gru,22.71113888888889,340.6670833333333,-46.88472222222222,2.1
936,14576,26Bet Per,3.136138888888889,47.04208333333334,40.955555555555556,2.12
4534,57632,94Bet Leo,11.817666666666666,177.265,14.571944444444444,2.14
4819,61932,Gam Cen,12.691944444444445,190.37916666666666,-48.959722222222226,2.17
7796,100453,37Gam Cyg,20.370472222222222,305.5570833333333,40.25666666666667,2.2
3634,44816,Lam Vel,9.133277777777778,136.99916666666667,-43.4325,2.21
5793,76267,5Alp CrB,15.578138888888889,233.67208333333332,26.71472222222222,2.23
1852,25930,34Del Ori,5.533444444444444,83.00166666666667,-0.29916666666666664,2.23
168,3179,18Alp Cas,0.6751388888888888,10.127083333333333,56.53722222222222,2.23
6705,87833,33Gam Dra,17.943444444444445,269.1516666666667,51.48888888888889,2.23
3699,45556,Iot Car,9.284833333333333,139.2725,-59.275277777777774,2.25
3165,39429,Zet Pup,8.059750000000001,120.89625000000001,-40.00333333333333,2.25
603,9640,57Gam1And,2.065,30.974999999999998,42.32972222222222,2.26
5054,65378,79Zet UMa,13.39875,200.98125,54.92527777777777,2.27
21,746,11Bet Cas,0.1529722222222222,2.294583333333333,59.14972222222222,2.27
6241,82396,26Eps Sco,16.836055555555554,252.5408333333333,-34.29333333333333,2.29
5469,71860,Alp Lup,14.698833333333333,220.4825,-47.388333333333335,2.3
5132,66657,Eps Cen,13.664777777777779,204.9716666666667,-53.46638888888889,2.3
5440,71352,Eta Cen,14.591777777777779,218.87666666666667,-42.157777777777774,2.31
5953,78401,7Del Sco,16.005555555555556,240.08333333333334,-22.621666666666666,2.32
4295,53910,48Bet UMa,11.030694444444446,165.4604166666667,56.3825,2.37
8308,107315,8Eps Peg,21.736444444444444,326.0466666666667,9.875,2.39
99,2081,Alp Phe,0.4380555555555556,6.570833333333334,-42.30611111111111,2.39
6580,86670,Kap Sco,17.70813888888889,265.62208333333336,-39.03,2.41
8775,113881,53Bet Peg,23.062916666666666,345.94375,28.08277777777778,2.42
6378,84012,35Eta Oph,17.172972222222224,257.5945833333334,-15.724722222222223,2.43
8162,105199,5Alp Cep,21.30966666666667,319.64500000000004,62.58555555555556,2.44
4554,58001,64Gam UMa,11.897166666666665,178.45749999999998,53.69472222222222,2.44
2827,35904,31Eta CMa,7.401583333333334,111.02375,-29.303055555555556,2.45
7949,102488,53Eps Cyg,20.770194444444442,311.55291666666665,33.97027777777778,2.46
264,4427,27Gam Cas,0.9451388888888889,14.177083333333332,60.71666666666667,2.47
8781,113963,54Alp Peg,23.079361111111112,346.1904166666667,15.205277777777777,2.49
3734,45941,Kap Vel,9.368555555555556,140.52833333333334,-55.01083333333333,2.5
911,14135,92Alp Cet,3.038,45.57,4.089722222222222,2.53
5231,68002,Zet Cen,13.925666666666666,208.885,-47.288333333333334,2.55
